factor	pwy	pwy_name	pwy_gene_num	num_snp_fdr.0.2	num_snp_noMHC	pval_in_fitting	slope_in_fitting	rsq_in_fitting	pval_in_resampling
T2Dunadj_pwy94_pc1	R-HSA-9662851	Anti-inflammatory response favouring Leishmania parasite infection	104	3	3	0.591	0.019	0.167	0.539
T2Dunadj_pwy954_pc1	R-HSA-977606	Regulation of Complement cascade	46	3	3	0.04	-0.05	0.922	0.153
T2Dunadj_pwy983_pc1	R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	16	3	3	0.042	0.052	0.917	0.155
T2Dunadj_pwy983_pc2	R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	178	3	3	0.488	-0.062	0.262	0.352
TC_pwy1010_pc2	R-HSA-9682706	Replication of the SARS-CoV-1 genome	14	3	2	0.27	0.234	0.533	0.23
TC_pwy1011_pc2	R-HSA-9694686	Replication of the SARS-CoV-2 genome	145	3	2	0.27	0.234	0.533	0.23
TC_pwy1051_pc5	R-HSA-9013973	TICAM1-dependent activation of IRF3/IRF7	95	4	4	0.667	0.091	0.07	0.686
TC_pwy1060_pc2	R-HSA-5628897	TP53 Regulates Metabolic Genes	70	4	3	0.946	-0.012	0.002	0.936
TC_pwy1076_pc5	R-HSA-937072	TRAF6-mediated induction of TAK1 complex within TLR4 complex	147	3	3	0.404	-0.395	0.356	0.399
TC_pwy1079_pc2	R-HSA-2562578	TRIF-mediated programmed cell death	644	3	2	0.323	0.224	0.458	0.269
TC_pwy1083_pc5	R-HSA-167246	Tat-mediated elongation of the HIV-1 transcript	631	4	4	0.249	0.587	0.404	0.226
TC_pwy1092_pc3	R-HSA-1663150	The activation of arylsulfatases	80	3	2	0.434	0.117	0.32	0.371
TC_pwy1117_pc5	R-HSA-167172	Transcription of the HIV genome	9	3	3	0.151	0.699	0.721	0.19
TC_pwy1195_pc5	R-HSA-168325	Viral Messenger RNA Synthesis	18	3	3	0.122	0.944	0.772	0.147
TC_pwy199_pc2	R-HSA-140534	Caspase activation via Death Receptors in the presence of ligand	82	3	3	0.979	-0.007	0	0.985
TC_pwy209_pc2	R-HSA-9664424	Cell recruitment (pro-inflammatory response)	47	3	3	0.566	0.118	0.188	0.492
TC_pwy285_pc3	R-HSA-111461	Cytochrome c-mediated apoptotic response	14	3	3	0.329	0.199	0.451	0.321
TC_pwy34_pc5	R-HSA-399997	Acetylcholine regulates insulin secretion	22	5	5	0.004	0.267	0.898	0.03
TC_pwy354_pc5	R-HSA-162906	HIV Infection	14	3	3	0.127	-0.48	0.763	0.152
TC_pwy356_pc5	R-HSA-167169	HIV Transcription Elongation	39	4	4	0.249	0.587	0.404	0.226
TC_pwy388_pc5	R-HSA-975163	IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	241	3	3	0.438	-0.341	0.316	0.421
TC_pwy429_pc4	R-HSA-176033	Interactions of Vpr with host cellular proteins	241	3	3	0.667	-0.153	0.111	0.674
TC_pwy432_pc3	R-HSA-909733	Interferon alpha/beta signaling	126	5	4	0.528	0.065	0.106	0.552
TC_pwy459_pc5	R-HSA-6811438	Intra-Golgi traffic	8	3	3	0.508	0.384	0.242	0.466
TC_pwy477_pc5	R-HSA-74182	Ketone body metabolism	9	3	3	0.282	0.906	0.516	0.271
TC_pwy484_pc1	R-HSA-9664535	LTC4-CYSLTR mediated IL4 production	190	3	3	0.536	-0.115	0.215	0.451
TC_pwy50_pc5	R-HSA-936964	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	69	3	3	0.061	0.224	0.881	0.131
TC_pwy519_pc4	R-HSA-8875555	MET activates RAP1 and RAC1	21	3	3	0.292	0.264	0.501	0.246
TC_pwy594_pc3	R-HSA-397014	Muscle contraction	192	3	3	0.749	-0.053	0.063	0.786
TC_pwy656_pc1	R-HSA-168799	Neurotoxicity of clostridium toxins	59	3	3	0.548	0.08	0.204	0.48
TC_pwy718_pc4	R-HSA-1963642	PI3K events in ERBB2 signaling	9	3	3	0.29	-0.456	0.504	0.259
TC_pwy792_pc1	R-HSA-426496	Post-transcriptional silencing by small RNAs	350	3	2	0.331	0.193	0.447	0.299
TC_pwy832_pc2	R-HSA-9660826	Purinergic signaling in leishmaniasis infection	21	3	3	0.566	0.118	0.188	0.492
TC_pwy881_pc1	R-HSA-77075	RNA Pol II CTD phosphorylation and interaction with CE	82	3	3	0.265	0.739	0.541	0.272
TC_pwy882_pc1	R-HSA-167160	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	123	3	3	0.265	0.739	0.541	0.272
TC_pwy961_pc1	R-HSA-877312	Regulation of IFNG signaling	46	3	3	0.024	0.239	0.953	0.065
TG_pwy1037_pc4	R-HSA-2029485	Role of phospholipids in phagocytosis	52	3	3	0.964	0.006	0.001	0.966
TG_pwy1065_pc2	R-HSA-6803211	TP53 Regulates Transcription of Death Receptors and Ligands	21	3	3	0.397	0.249	0.363	0.315
TG_pwy130_pc2	R-HSA-1368108	BMAL1:CLOCK,NPAS2 activates circadian gene expression	8	3	3	0.993	0.002	0	0.994
TG_pwy174_pc3	R-HSA-204005	COPII-mediated vesicle transport	8	3	3	0.751	0.084	0.062	0.821
TG_pwy182_pc4	R-HSA-389513	CTLA4 inhibitory signaling	51	3	3	0.644	0.123	0.126	0.657
TG_pwy472_pc5	R-HSA-450604	KSRP (KHSRP) binds and destabilizes mRNA	31	4	4	0.76	0.034	0.036	0.763
TG_pwy661_pc3	R-HSA-197264	Nicotinamide salvaging	50	3	3	0.121	0.571	0.772	0.145
TG_pwy786_pc4	R-HSA-156711	Polo-like kinase mediated events	69	3	3	0.787	-0.056	0.046	0.833
TG_pwy825_pc4	R-HSA-5676934	Protein repair	20	3	3	0.403	0.406	0.356	0.328
TG_pwy921_pc2	R-HSA-8939242	RUNX1 regulates transcription of genes involved in differentiation of keratinocytes	11	3	3	0.715	-0.044	0.081	0.698
WHR_pwy239_pc2	R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	118	3	3	0.6	0.042	0.16	0.476
allergy_pwy11_pc1	R-HSA-163680	AMPK inhibits chREBP transcriptional activation activity	49	3	3	0.342	0.358	0.433	0.298
allergy_pwy423_pc2	R-HSA-163685	Integration of energy metabolism	12	3	3	0.885	-0.064	0.013	0.908
allergy_pwy479_pc1	R-HSA-983189	Kinesins	58	3	3	0.863	-0.02	0.019	0.87
asthma_2_pwy330_pc2	NA	NA	NA	3	3	0.701	-1.778	0.09	0.788
asthma_2_pwy569_pc5	NA	NA	NA	3	3	0.52	1.799	0.23	0.72
asthma_2_pwy84_pc3	NA	NA	NA	4	4	0.972	0.259	0	0.972
asthma_2_pwy888_pc5	NA	NA	NA	3	3	0.879	-0.389	0.015	0.997
bmi_pwy1202_pc3	R-HSA-180910	Vpr-mediated nuclear import of PICs	16	3	3	0.556	0.07	0.197	0.468
bmi_pwy216_pc2	R-HSA-9711123	Cellular response to chemical stress	54	4	4	0.439	-0.06	0.209	0.437
bmi_pwy429_pc3	R-HSA-176033	Interactions of Vpr with host cellular proteins	54	3	3	0.558	0.069	0.195	0.473
bmi_pwy649_pc2	R-HSA-936440	Negative regulators of DDX58/IFIH1 signaling	7	3	3	0.81	0.018	0.036	0.814
bmi_pwy709_pc2	R-HSA-389948	PD-1 signaling	11	3	3	0.007	0.087	0.986	0.045
bmi_pwy76_pc5	R-HSA-170670	Adenylate cyclase inhibitory pathway	22	4	4	0.64	-0.042	0.082	0.587
eo_pwy1073_pc1	R-HSA-975110	TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling	34	3	3	0.983	0.004	0	0.982
eo_pwy1083_pc5	R-HSA-167246	Tat-mediated elongation of the HIV-1 transcript	29	3	3	0.338	0.107	0.438	0.344
eo_pwy1093_pc1	R-HSA-2453902	The canonical retinoid cycle in rods (twilight vision)	74	3	3	0.925	-0.013	0.006	0.919
eo_pwy154_pc1	R-HSA-8851680	Butyrophilin (BTN) family interactions	6	3	3	0.012	-0.169	0.976	0.02
eo_pwy229_pc3	R-HSA-2022870	Chondroitin sulfate biosynthesis	86	4	4	0.365	0.109	0.274	0.334
eo_pwy287_pc2	R-HSA-9707564	Cytoprotection by HMOX1	27	3	3	0.143	0.279	0.734	0.122
eo_pwy311_pc2	R-HSA-376172	DSCAM interactions	7	4	4	0.162	-0.148	0.532	0.159
eo_pwy329_pc1	R-HSA-5083636	Defective GALNT12 causes colorectal cancer 1 (CRCS1)	47	3	3	0.427	0.133	0.328	0.286
eo_pwy356_pc5	R-HSA-167169	HIV Transcription Elongation	15	3	3	0.338	0.107	0.438	0.344
eo_pwy433_pc2	R-HSA-877300	Interferon gamma signaling	25	3	3	0.816	-0.018	0.034	0.804
eo_pwy639_pc4	R-HSA-5654732	Negative regulation of FGFR3 signaling	85	4	4	0.982	-0.003	0	0.971
eo_pwy68_pc1	R-HSA-1482798	Acyl chain remodeling of CL	46	3	3	0.339	-0.166	0.436	0.322
eo_pwy758_pc3	R-HSA-5576893	Phase 2 - plateau phase	82	3	3	0.304	0.134	0.484	0.302
eo_pwy76_pc5	R-HSA-170670	Adenylate cyclase inhibitory pathway	43	3	3	0.261	0.126	0.546	0.266
eo_pwy854_pc4	R-HSA-5627117	RHO GTPases Activate ROCKs	12	3	3	0.36	0.117	0.409	0.333
eo_pwy893_pc2	R-HSA-75955	RNA Polymerase II Transcription Elongation	624	3	3	0	0.191	0.999	0.001
eo_pwy93_pc4	R-HSA-193048	Androgen biosynthesis	116	3	3	0.078	-0.211	0.85	0.171
gran_pwy1023_pc2	R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	13	3	3	0.413	0.055	0.345	0.326
gran_pwy1196_pc2	R-HSA-192823	Viral mRNA Translation	63	3	3	0.43	0.052	0.325	0.34
gran_pwy337_pc5	R-HSA-3323169	Defects in biotin (Btn) metabolism	20	3	3	0.572	0.1	0.183	0.508
gran_pwy526_pc4	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	25	3	3	0.502	0.1	0.248	0.373
gran_pwy620_pc3	R-HSA-9029558	NR1H2 & NR1H3 regulate gene expression linked to lipogenesis	34	3	3	0.058	0.299	0.887	0.152
gran_pwy669_pc2	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	39	3	3	0.436	0.052	0.318	0.337
gran_pwy719_pc4	R-HSA-1250342	PI3K events in ERBB4 signaling	28	4	4	0.53	0.187	0.143	0.54
gran_pwy749_pc2	R-HSA-156902	Peptide chain elongation	22	3	3	0.441	0.051	0.313	0.34
gran_pwy808_pc5	R-HSA-9636383	Prevention of phagosomal-lysosomal fusion	13	3	3	0.485	0.135	0.265	0.351
gran_pwy904_pc2	R-HSA-76071	RNA Polymerase III Transcription Initiation From Type 3 Promoter	66	3	3	0.418	0.125	0.339	0.364
gran_pwy99_pc3	R-HSA-6803157	Antimicrobial peptides	7	3	3	0.767	-0.024	0.054	0.767
height_pwy1023_pc4	R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	47	3	3	0.774	-0.017	0.051	0.761
height_pwy1136_pc1	R-HSA-72649	Translation initiation complex formation	36	3	3	0.711	-0.01	0.084	0.719
height_pwy1163_pc2	R-HSA-159230	Transport of the SLBP Dependant Mature mRNA	8	3	3	0.567	0.073	0.187	0.537
height_pwy1164_pc2	R-HSA-159227	Transport of the SLBP independent Mature mRNA	68	3	3	0.562	0.073	0.192	0.53
height_pwy125_pc2	R-HSA-422475	Axon guidance	68	3	3	0.735	-0.011	0.07	0.741
height_pwy139_pc1	R-HSA-425381	Bicarbonate transporters	159	3	3	0.555	0.055	0.198	0.534
height_pwy182_pc4	R-HSA-389513	CTLA4 inhibitory signaling	320	3	3	0.073	-0.082	0.86	0.176
height_pwy251_pc5	R-HSA-1650814	Collagen biosynthesis and modifying enzymes	126	3	3	0.1	0.065	0.81	0.176
height_pwy355_pc3	R-HSA-162587	HIV Life Cycle	81	6	6	0.887	-0.01	0.004	0.87
height_pwy432_pc3	R-HSA-909733	Interferon alpha/beta signaling	50	3	3	0.642	0.028	0.128	0.616
height_pwy487_pc3	R-HSA-162599	Late Phase of HIV Life Cycle	7	6	6	0.601	0.036	0.059	0.608
height_pwy503_pc4	R-HSA-71064	Lysine catabolism	32	3	3	0.703	0.028	0.088	0.703
height_pwy575_pc3	R-HSA-1362409	Mitochondrial iron-sulfur cluster biogenesis	8	3	3	0.809	0.016	0.037	0.812
height_pwy627_pc4	R-HSA-442660	Na+/Cl- dependent neurotransmitter transporters	39	4	4	0.303	-0.043	0.339	0.298
height_pwy65_pc1	R-HSA-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	26	3	3	0.703	-0.01	0.088	0.707
height_pwy665_pc4	R-HSA-3000171	Non-integrin membrane-ECM interactions	57	3	3	0.667	-0.036	0.111	0.667
height_pwy833_pc4	R-HSA-73621	Pyrimidine catabolism	127	4	4	0.328	0.055	0.312	0.307
height_pwy917_pc2	R-HSA-8931987	RUNX1 regulates estrogen receptor mediated transcription	58	3	3	0.673	0.121	0.107	0.653
height_pwy95_pc3	R-HSA-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	16	3	3	0.445	-0.033	0.308	0.36
lymph_pwy115_pc3	R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	13	5	5	0.548	0.05	0.097	0.529
lymph_pwy1213_pc2	R-HSA-1606322	ZBP1(DAI) mediated induction of type I IFNs	21	3	3	0.046	0.269	0.911	0.072
lymph_pwy1215_pc5	R-HSA-435354	Zinc transporters	13	3	3	0.445	-0.084	0.308	0.332
lymph_pwy143_pc3	R-HSA-211859	Biological oxidations	6	4	4	0	-0.123	0.991	0.004
lymph_pwy262_pc5	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	13	3	3	0.001	0.08	0.998	0.003
lymph_pwy51_pc2	R-HSA-1592389	Activation of Matrix Metalloproteinases	6	3	3	0.653	-0.029	0.121	0.627
lymph_pwy612_pc1	R-HSA-168638	NOD1/2 Signaling Pathway	57	3	3	0.002	-0.357	0.996	0.008
lymph_pwy638_pc1	R-HSA-5654727	Negative regulation of FGFR2 signaling	7	3	3	0.446	-0.117	0.307	0.335
lymph_pwy639_pc1	R-HSA-5654732	Negative regulation of FGFR3 signaling	7	3	3	0.436	-0.123	0.319	0.335
lymph_pwy711_pc4	R-HSA-381042	PERK regulates gene expression	10	3	3	0.1	-0.176	0.81	0.04
lymph_pwy721_pc3	R-HSA-198203	PI3K/AKT activation	10	3	3	0.442	0.167	0.312	0.311
lymph_pwy952_pc3	R-HSA-169911	Regulation of Apoptosis	6	3	3	0.006	0.19	0.988	0.016
myeloid_wbc_pwy1127_pc2	NA	NA	NA	3	3	0.639	0.055	0.13	0.639
myeloid_wbc_pwy130_pc5	NA	NA	NA	3	3	0.494	-0.064	0.256	0.376
myeloid_wbc_pwy281_pc3	NA	NA	NA	3	3	0.786	-0.05	0.046	0.837
myeloid_wbc_pwy283_pc3	NA	NA	NA	3	3	0.792	-0.048	0.043	0.844
myeloid_wbc_pwy449_pc3	NA	NA	NA	3	3	0.249	0.131	0.563	0.247
myeloid_wbc_pwy526_pc4	NA	NA	NA	3	3	0.468	0.123	0.283	0.337
myeloid_wbc_pwy620_pc3	NA	NA	NA	3	3	0.046	0.312	0.91	0.133
myeloid_wbc_pwy904_pc2	NA	NA	NA	3	3	0.423	0.139	0.333	0.326
myeloid_wbc_pwy99_pc3	NA	NA	NA	3	3	0.819	-0.019	0.033	0.835
neut_pwy1023_pc2	R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	22	3	3	0.385	0.068	0.378	0.307
neut_pwy1065_pc3	R-HSA-6803211	TP53 Regulates Transcription of Death Receptors and Ligands	14	3	3	0.001	-0.119	0.998	0.008
neut_pwy1196_pc2	R-HSA-192823	Viral mRNA Translation	13	3	3	0.403	0.064	0.356	0.313
neut_pwy1217_pc5	R-HSA-2046104	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	52	4	4	0.833	0.023	0.017	0.82
neut_pwy1218_pc5	R-HSA-2046106	alpha-linolenic acid (ALA) metabolism	53	4	4	0.833	0.023	0.017	0.82
neut_pwy23_pc3	R-HSA-381183	ATF6 (ATF6-alpha) activates chaperone genes	56	3	3	0.527	0.123	0.224	0.435
neut_pwy337_pc5	R-HSA-3323169	Defects in biotin (Btn) metabolism	55	3	3	0.544	0.111	0.208	0.455
neut_pwy526_pc4	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	83	3	3	0.516	0.093	0.235	0.411
neut_pwy620_pc3	R-HSA-9029558	NR1H2 & NR1H3 regulate gene expression linked to lipogenesis	13	3	3	0.057	0.305	0.888	0.157
neut_pwy669_pc2	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	108	3	3	0.408	0.064	0.35	0.314
neut_pwy719_pc4	R-HSA-1250342	PI3K events in ERBB4 signaling	15	3	3	0.704	0.166	0.088	0.726
neut_pwy749_pc2	R-HSA-156902	Peptide chain elongation	61	3	3	0.412	0.063	0.346	0.319
neut_pwy778_pc4	R-HSA-8963899	Plasma lipoprotein remodeling	46	3	3	0.517	0.06	0.233	0.421
neut_pwy808_pc5	R-HSA-9636383	Prevention of phagosomal-lysosomal fusion	52	3	3	0.491	0.132	0.259	0.365
plt_pwy143_pc5	R-HSA-211859	Biological oxidations	22	3	2	0.65	-0.031	0.123	0.661
plt_pwy185_pc5	R-HSA-4086398	Ca2+ pathway	221	4	4	0.948	-0.005	0.002	0.93
plt_pwy290_pc4	R-HSA-156584	Cytosolic sulfonation of small molecules	145	3	3	0.056	0.151	0.891	0.125
plt_pwy415_pc2	R-HSA-8875360	InlB-mediated entry of Listeria monocytogenes into host cell	42	3	3	0.578	0.123	0.178	0.536
plt_pwy503_pc4	R-HSA-71064	Lysine catabolism	44	3	3	0.582	-0.085	0.175	0.534
plt_pwy548_pc5	R-HSA-556833	Metabolism of lipids	32	3	3	0.724	0.018	0.076	0.732
plt_pwy692_pc5	R-HSA-381753	Olfactory Signaling Pathway	20	3	3	0.756	-0.076	0.06	0.782
plt_pwy699_pc2	R-HSA-549127	Organic cation transport	16	3	3	0.002	0.2	0.995	0.007
plt_pwy700_pc2	R-HSA-549132	Organic cation/anion/zwitterion transport	26	3	3	0.002	0.2	0.995	0.007
plt_pwy753_pc3	R-HSA-390918	Peroxisomal lipid metabolism	34	3	3	0.104	0.26	0.803	0.208
plt_pwy756_pc5	R-HSA-9664873	Pexophagy	50	4	4	0.42	0.105	0.225	0.388
plt_pwy762_pc5	R-HSA-156580	Phase II - Conjugation of compounds	100	3	3	0.066	-0.093	0.873	0.123
plt_pwy764_pc3	R-HSA-8850843	Phosphate bond hydrolysis by NTPDase proteins	74	3	3	0.715	-0.041	0.081	0.729
plt_pwy779_pc1	R-HSA-75892	Platelet Adhesion to exposed collagen	57	4	4	0.813	-0.04	0.022	0.794
plt_pwy944_pc5	R-HSA-159418	Recycling of bile acids and salts	13	3	3	0.457	0.112	0.295	0.405
rbc_pwy1006_pc4	R-HSA-111457	Release of apoptotic factors from the mitochondria	13	3	3	0.747	-0.038	0.064	0.783
rbc_pwy1021_pc2	R-HSA-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	46	3	3	0.057	0.244	0.89	0.161
rbc_pwy1082_pc2	R-HSA-167243	Tat-mediated HIV elongation arrest and recovery	603	4	4	0.02	-0.261	0.873	0.015
rbc_pwy1131_pc4	R-HSA-452723	Transcriptional regulation of pluripotent stem cells	39	3	3	0.032	0.196	0.938	0.123
rbc_pwy1178_pc2	R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	54	3	3	0.014	0.204	0.971	0.076
rbc_pwy118_pc3	R-HSA-390471	Association of TriC/CCT with target proteins during biosynthesis	52	3	3	0.436	-0.114	0.319	0.313
rbc_pwy32_pc2	R-HSA-167242	Abortive elongation of HIV-1 transcript in the absence of Tat	7	3	3	0.072	0.275	0.862	0.046
rbc_pwy342_pc2	R-HSA-4641257	Degradation of AXIN	43	3	3	0.013	-0.224	0.975	0.057
rbc_pwy396_pc3	R-HSA-168256	Immune System	131	4	4	0.793	0.012	0.027	0.784
rbc_pwy413_pc1	R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	125	3	3	0.461	-0.109	0.29	0.358
rbc_pwy438_pc5	R-HSA-6783783	Interleukin-10 signaling	11	3	3	0.811	0.019	0.036	0.876
rbc_pwy508_pc2	R-HSA-5674135	MAP2K and MAPK activation	16	3	3	0.763	-0.051	0.056	0.8
rbc_pwy526_pc4	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	12	3	3	0.708	-0.049	0.085	0.736
rbc_pwy722_pc3	R-HSA-6811555	PI5P Regulates TP53 Acetylation	6	3	3	0.625	0.062	0.14	0.607
rbc_pwy747_pc2	R-HSA-167238	Pausing and recovery of Tat-mediated HIV elongation	40	4	4	0.02	-0.261	0.873	0.015
rbc_pwy968_pc5	R-HSA-8943723	Regulation of PTEN mRNA translation	22	3	3	0.035	0.197	0.932	0.123
rbc_pwy972_pc2	R-HSA-8939902	Regulation of RUNX2 expression and activity	15	3	3	0.029	0.164	0.943	0.092
rbc_pwy981_pc4	R-HSA-6804757	Regulation of TP53 Degradation	12	3	3	0.716	-0.055	0.081	0.735
rbc_pwy982_pc4	R-HSA-6806003	Regulation of TP53 Expression and Degradation	12	3	3	0.012	0.16	0.975	0.057
ukb.allasthma_pwy194_pc2	R-HSA-5576891	Cardiac conduction	9	3	3	0.001	-0.096	0.999	0.003
ukb.allasthma_pwy292_pc3	R-HSA-1489509	DAG and IP3 signaling	14	3	3	0.003	-0.164	0.995	0.024
ukb.allasthma_pwy362_pc4	R-HSA-3371571	HSF1-dependent transactivation	18	3	3	0.002	-0.213	0.996	0.006
ukb.allasthma_pwy427_pc2	R-HSA-445095	Interaction between L1 and Ankyrins	49	3	3	0.561	0.104	0.193	0.526
ukb.allasthma_pwy467_pc3	R-HSA-936837	Ion transport by P-type ATPases	13	3	3	0.002	-0.157	0.997	0.006
ukb.allasthma_pwy467_pc5	R-HSA-936837	Ion transport by P-type ATPases	36	3	3	0.001	-0.198	0.999	0.002
ukb.allasthma_pwy519_pc2	R-HSA-8875555	MET activates RAP1 and RAC1	39	4	4	0.193	0.301	0.482	0.202
ukb.allasthma_pwy594_pc1	R-HSA-397014	Muscle contraction	72	3	3	0	0.123	1	0
ukb.allasthma_pwy594_pc2	R-HSA-397014	Muscle contraction	6	3	3	0.001	0.06	0.998	0.002
ukb.allasthma_pwy650_pc4	R-HSA-373753	Nephrin family interactions	1843	4	4	0.014	0.203	0.899	0.008
ukb.allasthma_pwy729_pc3	R-HSA-111931	PKA-mediated phosphorylation of CREB	199	3	3	0	0.211	0.999	0.001
ukb.allasthma_pwy964_pc1	R-HSA-9022692	Regulation of MECP2 expression and activity	22	3	3	0.405	0.328	0.354	0.329
wbc_pwy1053_pc2	R-HSA-5676594	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	6	4	4	0.311	0.112	0.33	0.311
wbc_pwy1083_pc5	R-HSA-167246	Tat-mediated elongation of the HIV-1 transcript	26	3	3	0.513	0.075	0.237	0.451
wbc_pwy1203_pc3	R-HSA-180534	Vpu mediated degradation of CD4	22	3	3	0.699	0.041	0.091	0.744
wbc_pwy123_pc3	R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	14	3	3	0.043	0.173	0.916	0.166
wbc_pwy157_pc4	R-HSA-9662834	CD163 mediating an anti-inflammatory response	25	3	3	0.508	0.098	0.242	0.439
wbc_pwy170_pc4	R-HSA-5660668	CLEC7A/inflammasome pathway	831	4	4	0.969	0.007	0.001	0.956
wbc_pwy23_pc3	R-HSA-381183	ATF6 (ATF6-alpha) activates chaperone genes	21	3	3	0.572	0.105	0.183	0.539
wbc_pwy356_pc5	R-HSA-167169	HIV Transcription Elongation	149	3	3	0.513	0.075	0.237	0.451
wbc_pwy526_pc4	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	131	3	3	0.492	0.106	0.258	0.381
wbc_pwy531_pc2	R-HSA-9694548	Maturation of spike protein	18	4	4	0.737	-0.035	0.043	0.687
wbc_pwy539_pc5	R-HSA-2022377	Metabolism of Angiotensinogen to Angiotensins	58	3	3	0.003	0.161	0.994	0.01
wbc_pwy541_pc1	R-HSA-209776	Metabolism of amine-derived hormones	11	3	3	0.616	-0.052	0.147	0.556
wbc_pwy582_pc5	R-HSA-5205647	Mitophagy	22	3	3	0.681	0.032	0.102	0.674
wbc_pwy721_pc3	R-HSA-198203	PI3K/AKT activation	93	3	3	0.509	0.12	0.241	0.363
wbc_pwy776_pc5	R-HSA-174824	Plasma lipoprotein assembly, remodeling, and clearance	18	3	3	0.93	-0.006	0.005	0.944
wbc_pwy848_pc3	R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants	9	3	3	0.007	-0.143	0.987	0.046
wbc_pwy897_pc2	R-HSA-73856	RNA Polymerase II Transcription Termination	11	3	3	0.001	0.222	0.998	0
wbc_pwy904_pc2	R-HSA-76071	RNA Polymerase III Transcription Initiation From Type 3 Promoter	994	3	3	0.899	-0.026	0.01	0.93
wbc_pwy984_pc3	R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	43	3	3	0.644	0.048	0.127	0.668
wbc_pwy987_pc4	R-HSA-428542	Regulation of commissural axon pathfinding by SLIT and ROBO	21	3	3	0.002	0.164	0.997	0.005
